,Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC Value / M,SMILES_y
131,347,381.6,OCTYL TRIMETHYLAMMOMIUM OCTYL SULFATE,,25.0,0.0075,CCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCOS(=O)(=O)[O-]
132,348,443.2,NN-DIMETHYL 1-1-DIHYDROPENTADECAFLUORO OCTYL AMINE N-OXIDE /C7F15CH2N/CH3/20/,,25.0,0.00047,CCCCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-]
133,350,196.4,POTASSIUM NONANOATE,,25.0,0.21,C(C(CN)O)C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F
134,351,252.5,POTASSIUM TRIDECANOATE,,25.0,0.0126,CCCCCCCCC(=O)[O-].[K+]
135,352,388.4,SODIUM DI-1-METHYLISOAMYL SULFOSUCCINATE,,25.0,0.03,CC(C)CCCCCCCCCC(=O)[O-].[K+]
136,374,346.1,DODECAFLUOROHEPTANOIC ACID H/CF2/6C00H,,25.0,0.15,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+]
137,375,446.1,HEXADECAFLUORONONANOIC ACID H/CF2/8COOH,,25.0,0.03,C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
138,376,375.4,DODECYL PYRIDINIUM TODIDE,,25.0,0.0056,C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
139,383,381.6,BUTYL TRIMETHYLAMMONIUM DODECYL SULFATE,,25.0,0.00238,CCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-]
140,384,409.7,HEXYL TRIMETHYLAMMONIUM DODECYL SULFATE,,25.0,0.00125,CCCCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-]
141,385,437.8,OCTYL TRIMETHYLAMMONIUM DODECYL SULFATE,,25.0,0.00043,CCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-]
